mf_current_assets,mf_nuveen_non_taxable_tot_assets,mf_nuveen_trailing_12m_net_sales,mf_nuveen_12m_gross_sales,club_status,mf_nuveen_prior_year_assets,mf_nuveen_12m_non_tax_total_gs,mf_prior_year_assets,mf_trailing_12m_net_sales,mf_commodities_12m_gs,mf_commodities_12m_net_sales,mf_international_equity_aum,mf_int_equity_12mo_gs,mf_int_equity_12mo_net,mf_municipal_bond_aum,mf_muni_12_mo_gs,mf_muni_12_mo_net,mf_sector_equity_aum,mf_sector_equity_12mo_gs,mf_sector_equity_12mo_net,mf_taxable_bond_aum,mf_taxable_bond_12mo_gs,mf_taxable_bond_12mo_net_sales,mf_us_equity_aum,mf_US_equity_12m_gross_sales,mf_us_equity_12m_net_sales,mf_nuveen_assets_fa_book_rank,mf_diversified_emerging_mkts_aum,mf_diversified_emerg_mkts_12m_gs,mf_europe_stock_aum,mf_europe_stock_12m_gross_sales,mf_europe_stock_12m_net_sales,mf_foreign_large_blend_aum,mf_foreign_large_blend_12m_gs,mf_foreign_large_blend_12m_net,mf_foreign_large_growth_aum,mf_foreign_large_growth_12m_gs,mf_foreign_large_growth_12m_net,mf_foreign_large_value_aum,mf_foreign_large_value_12m_gs,mf_foreign_large_value_12m_net,mf_global_real_estate_aum,mf_global_real_estate_12m_gs,mf_global_real_estate_12m_net,mf_health_aum,mf_health_12m_gross_sales,mf_health_12m_net_sales,mf_high_yield_bond_aum,mf_high_yield_bond_12m_gs,mf_high_yield_bond_12m_net,mf_high_yield_muni_aum,mf_high_yield_muni_12m_gs,mf_high_yield_muni_12m_net,mf_inflation_protected_bond_aum,mf_inflation_protect_bond_12m_gs,mf_infl_protect_bond_12m_net,mf_large_blend_aum,mf_large_blend_12m_gross_sales,mf_large_blend_12m_net_sales,mf_large_growth_aum,mf_large_growth_12m_gross_sales,mf_large_growth_12m_net_sales,mf_large_value_aum,mf_large_value_12m_gross_sales,mf_large_value_12m_net_sales,Most_Recent_12m_GS
3654759.13,11919.51,0,0,Master's,19078.41,0,3057696.95,71956.72,0,0,393526.55,4176.02,-2536.38,768960.51,1002368.06,377157.4,405914.2,22678.37,-6058.7,736057.95,6147.65,5708.83,989313.14,15488.14,-247526.74,23,220.34,1517.99,8842.65,0,0,68371.52,1825.04,1825.04,18221.21,832.99,-5879.41,1640.52,0,0,15179.7,19321.42,193.29,246549.03,0,0,49222.77,0,0,0,0,-125264.68,0,0,0,233269.23,4082.71,3658.56,445932,3164.23,-156659.47,167957.32,3860.24,-35277.77,0
3381375.84,0,0,0,Non-Club,37572.8,0,3057902.81,405290.24,0,0,118834.35,7106.86,-39755.14,36359.6,0,0,123243.97,0,0,1105930.51,495737.52,436042.08,768545.31,29954.45,-52376.87,16,45448.4,2448.08,16885.14,463.98,463.98,24948.06,3548.83,-464.21,18264.84,0,-2006.5,0,0,-33923.39,40154.4,0,0,0,0,0,59464.5,8442.58,8251.09,24806.11,0,0,1012.08,512.86,-181.55,428243.13,14235.72,-34928.45,135088.85,0,0,46677.23,0,-100,0
7573082.5,0,0,0,Non-Club,0,0,7166833.77,-37308.28,0,0,1245454.96,30709.8,-20939.15,83920.27,0,-10703.56,191369.44,0,-75.06,1324999.35,2321.81,-13052.27,3395605.9,13400.71,-15663.24,,98618.71,1633.89,0,0,0,37057.3,5472.95,1606.45,893797.07,0,-36.72,3028.38,426.91,207.31,139603.36,0,0,27758.98,0,-0.06,155908.27,882.43,882.43,0,0,0,0,0,-601.24,22929.58,261.52,-599.34,1525340.05,6336.23,-2137.51,1072666.11,0,-18467.52,0
1043668.1,0,0,0,Non-Club,0,0,1014419.28,-119917.81,0,0,71870.23,647.36,-109.83,161402.53,0,0,620.09,0,0,17508.83,1157.62,-864.74,779111.48,1058.22,-118856.74,,36578.99,201.28,0,0,0,4577.45,446.08,-311.11,20410.32,0,0,0,0,0,0,0,0,0,0,0,988.74,954.03,954.03,0,0,0,328.8,17.46,-223.28,729076.99,319.89,87.25,20044.27,0,-119642.62,19214.63,0,0,0
9485521.79,0,0,0,Non-Club,25334.73,0,10415150.68,-1188121.35,21.77,21.77,725398.65,28400.8,-160288.47,172064.64,0,-94844.08,60203.33,0,-3711.86,5750834.84,1982650.44,-301445.29,1044776.67,15530.98,-289508.39,16,118846.32,1982.39,216.03,0,0,75146.16,2265.04,-123688.82,21743.53,0,-44.18,52676.87,0,0,1940.45,0,0,38931.89,0,0,9261.94,8637.91,8603.97,122.74,0,0,594734.11,749.85,-68414.66,447037.3,3178.67,-123113.44,423499.13,9088.83,-64245.14,79650.89,3.04,-54428.11,0
10349444.87,7138.27,0,0,Non-Club,6809.1,0,9045472.51,226198.85,0,0,1028166.74,14447.64,-231561.57,649710.76,214400,205210.4,1034412.37,0,0,1926446.01,703246.18,542354.1,4764924.45,141376.66,-460846.02,24,86341.75,5093.1,0,0,0,160735.94,9328.27,-92885.95,218770.84,0,-45092.58,0,0,0,0,0,0,303235.72,0,0,30010.41,21195.78,21195.78,0,0,-9189.6,3980.31,1059.4,-8187.68,2353984.83,50875.96,-90423.26,1086693.34,8282.71,-176839.02,541564.97,6291.65,-49199.33,0
10879406.45,0,0,0,Non-Club,0,0,10215389.62,-495425.92,0,0,493788.87,2385,-23684.95,317769.99,0,0,141402.86,0,0,741842.37,1720,-70219.5,9172796.42,0,-401521.47,,0,0,76566.33,0,-322.95,60775.36,2385,-23362,0,0,0,0,0,0,0,0,0,0,0,0,14504.91,0,0,0,0,0,0,0,0,1861275.39,0,-63147.79,4169250.57,0,-44707.29,2849008.39,0,-288590.39,0
10735714.56,2554.92,0,0,Non-Club,58738.45,0,11657718.89,-862658.72,0,0,683343.06,31900.17,-51614.57,1460750.64,5789.84,-138685.3,368591.46,0,-37880,1027930.79,71425.93,-107872.47,3741462.37,38184.58,-128499.03,34,96911.48,2756.91,4051.14,0,0,67998.46,6515.99,-5286.92,80059.92,0,-18718.27,112798.51,20317.27,20317.27,2808.33,0,-19721.99,96556.91,0,0,118546.71,13071.12,1751.72,487022.39,0,-81302.02,4467.23,339.22,-4190.77,1399267.6,7863.99,-22387.54,1064674.99,6441.65,-41618.35,640721.83,12776.21,-14836.16,0
9805189.74,0,0,0,Non-Club,0,0,9276368.92,556478.51,21940.02,21650.47,987600.13,315005.44,145571.58,2642731.03,111648.03,80724,827839.45,23224.87,3433.65,748420.93,323648.87,166737.84,3670386.37,203150.91,86937.55,,122523.88,113093.98,0,0,0,250304.43,43715.77,24616.28,143828.76,127739.42,52187.72,58574.04,29854.06,18858.4,0,0,0,214187.33,0,-74.25,97185.83,48062.29,45055.53,0,0,0,9929.57,1871.18,-910.12,1071728.26,3518.47,-7297.99,1301030.88,29432.97,2404.34,500144.33,100181.22,60579.54,0
6685483.34,2366.73,0,0,Non-Club,47844.56,0,6787244.66,41053.96,0,0,1072671.22,212250,174242.36,213552.67,0,-17697.92,348828.79,75000,74914.27,3507661.74,888596.25,-23695.85,904205.7,146250,-57522.49,25,347013.47,0,0,0,0,0,0,0,323272.89,0,0,2855.34,0,0,0,0,0,159529.44,0,-85.73,9860.48,0,0,0,0,-17623.88,0,0,0,88035.54,0,-15991.69,724177.98,75000,-32627.75,10062.87,0,-9301.8,0
41544926.17,8111.59,-430.49,0,Non-Club,61767.36,0,37427222.21,2858580.67,9091.78,3422.18,5803645.63,435852.64,217129.51,695701.92,0,-109606.03,972541.19,33305.84,-86938.7,13037075.26,2894955.31,2493153.15,14208155.38,713477.57,326981.87,39,478709.01,88166.17,62404.11,0,0,443208.12,111799.82,93546.1,1016202.33,155658.58,125254.25,83702.75,7438.2,6767.52,0,0,-268.85,91448.77,0,-60382.4,268893.28,67820.14,54278.85,44198.78,0,0,276822.32,60392.31,58299.34,2894415.05,50910.21,-41868.34,6328375.78,190539.58,74085.32,2991980.77,108448.76,6306.92,0
2592488.39,0,0,0,Non-Club,0,0,2580160.55,-245988.78,0,0,22530.26,349.94,-7932.37,207745.01,0,0,200570.66,236.99,236.99,1775846.13,438043.23,6636.15,311354.25,1182.92,-15185.39,,3209.66,38.99,0,0,0,0,137.97,-5803.96,16210.84,0,0,0,172.98,172.98,0,0,0,116084.75,0,0,0,0,0,0,0,0,20927.55,0,-975.22,0,0,-6153.24,85951.93,1004.97,1004.97,12384.2,161.97,-1272.04,0
13320221.55,0,-21533.79,0,Non-Club,125012.77,0,8200373.06,4335301.52,0,0,370899.89,78430.92,-230199.02,1152773.54,224306.1,9695.53,1134643.14,265.49,-309936.5,5143161.12,5290458.81,3395149.26,2433310.03,505703.5,-327902.73,18,43715.66,537.92,0,0,0,132959.09,2385.5,-132405.57,125289.07,75507.5,-6210.85,15997.9,0,-21632.41,0,0,-1705.08,869494.81,0,-221804.62,122489.08,24993.26,-23189.07,712319.7,29309.35,-2943.78,19148.3,0,-18404.24,656385.96,506.49,-16721.43,909441.12,284183.42,-83392.22,491182.03,220609.85,-2082.84,13848.26
9614582.74,0,0,0,Non-Club,0,0,11062420.82,-1584642.94,0,0,2136709.89,125120.27,-391364.62,59467.02,130.97,-7340.87,1881.83,50.86,0,1146758.45,270877.58,-268343.37,6147056.03,204691.93,-906822.28,,518980.37,61010.79,0,0,0,581540.75,29070.77,-81239.63,569030.89,29214.7,-54328.06,166866.79,3852.43,-144588.42,0,0,0,0,0,0,175132.04,144919.29,129813.18,0,0,0,52747.13,1499.68,-87596.34,2187093.99,14842.55,-105290.61,2209871.69,28819.9,-347579.7,720192.69,50429.07,-172801.3,0
45302161.71,0,0,0,Century,39552.71,0,46590041.28,-867427.28,0,0,4968293.79,15798,-139247.42,1934367.34,0,0,445373.29,0,-5006.5,1501245.08,0,-15377.04,30513369.42,154428.36,-556878.44,37,57354.06,0,82962.95,0,-13012.5,343294.5,0,-6006,1059266.15,0,-20354.35,70729.52,0,-16146.42,0,0,0,85287.99,0,-5006.5,55317.57,0,0,217019.87,0,0,0,0,0,21265105.35,93434.86,-434554.47,7031170.2,60993.5,-93368.52,1154921.31,0,-10238.03,0
9620017.24,0,-746.12,0,Century,137462.65,0,9509829.99,-1150542.9,0,0,134798.94,2.5,-233180.18,2834212.52,0,-258586.07,128934.14,3187.95,-3329.73,179784.76,0,-209312.27,5862311.28,124327.36,-330549.56,10,310.29,0,0,0,0,16510.87,0,-4177.24,71116.05,0,-12717.18,0,0,0,0,0,0,0,0,0,535.39,0,-3841.67,169.32,0,-176750.14,0,0,0,3138343.28,92833.29,14059.51,1492305.8,19996.77,-113837.7,782270.06,0,-67435.3,0
11081595.78,0,0,0,Century,0,0,12266309.33,-59071.66,0,0,676192.1,68092.27,60416.79,16355.6,15675,-5012.54,12839.99,0,0,2313396.71,641.25,-68522.08,5097777.31,1900,-41312.15,,17788.61,0,0,0,0,206773.16,64993.5,61965.34,255985.9,3098.77,3098.77,0,0,0,0,0,0,0,0,0,19935.46,0,0,12010.85,11400,1406.32,41458.18,0,0,1979674.32,0,0,2168804.27,1900,-31955.68,806100.33,0,-1733.43,0
109100383.2,138657.12,-1.3,0,Master's,762477.32,0,105610250.9,1951245,0,0,12590801.29,57561.74,-150684.81,284186.47,10.17,-174825.3,2154894.98,0,-15693.71,391845.46,815.14,-204231.52,87437462.59,4684089.36,2638544.06,17,7142.18,61.75,9029.94,0,0,1433193.7,157.76,-58209.01,7877283.85,55503.06,-20269.22,65728.94,9,-35677.87,19263.42,0,-6.94,368780.65,0,0,34522.33,365.83,-46935.54,1324.8,0,-342.15,8707.53,4.78,-594.81,37869966.93,538274.79,-819489.88,35546929.04,3798246.59,3750454.76,4960357.32,2294.73,-15206.61,40954.56
107360230.4,0,-92.45,0,Non-Club,65451.28,0,105212702.3,4149464.55,0,0,20848165.97,363253,27670.52,7196984.26,381410.96,334103.3,110370.99,0,-2878.66,6174162.47,54082.68,-33651.89,28060731.59,585806.09,-82446.05,15,961229.99,14392.32,9439.57,0,0,441300.88,11947.23,-77239.97,1658301.35,59366.21,55532.25,14891.09,0,-858.09,0,0,0,41634.67,0,0,2704678.73,27212.24,-4175.06,1627221.71,177517.76,147112.96,15511.04,0,-33.25,18209847.57,275913.04,-61828.59,6646010.04,309875.8,42062.19,3111769.46,0,-36770.1,0
